Crop,year,county,yield_lb_ac,Acres_planted,Acres_harvested,yield_kg_ha,area_planted_ha,area_harvested_ha,prod_kg
Cotton,2021,GAINES,627,316000,282000,702.77295,127880.6496,114121.3392,80201390.21
Winter wheat,2016,DEAF SMITH,40.7,194000,151600,2737.114565,78509.0064,61350.33696,167922900.9
