year,county,yield_bu_ac,Acres_planted,Acres_harvested,yield_kg_ha,area_planted_ha,area_harvested_ha,prod_kg
2008,KENT,16,15500,5300,1076.015554,6272.6268,2144.83368,2307874.4
2008,KNOX,24.5,149500,116500,1647.648817,60500.4972,47145.8724,77679840.88
2008,LAMAR,50,19200,18500,3362.548606,7769.96352,7486.6836,25174337.5
2008,LAMB,56,72300,37600,3766.054438,29258.76888,15216.17856,57304956.8
2008,LAMPASAS,25,1500,1000,1681.274303,607.0284,404.6856,680387.5
2008,LIBERTY,30.5,6400,2900,2051.154649,2589.98784,1173.58824,2407210.975
2008,LIPSCOMB,27.5,24300,17000,1849.401733,9833.86008,6879.6552,12723246.25
2008,LIVE OAK,20,1100,600,1345.019442,445.15416,242.81136,326586
2008,LUBBOCK,24,33100,12200,1614.023331,13395.09336,4937.16432,7968698.4
2008,LYNN,24,6500,1600,1614.023331,2630.4564,647.49696,1045075.2
2008,MATAGORDA,46,2600,500,3093.544717,1052.18256,202.3428,625956.5
2008,MCCULLOCH,21,33800,24500,1412.270414,13678.37328,9914.7972,14002374.75
2008,MCLENNAN,48.5,33700,28200,3261.672147,13637.90472,11412.13392,37222639.35
2008,MEDINA,22.5,7700,2900,1513.146873,3116.07912,1173.58824,1775811.375
2008,MILAM,49.5,14300,6900,3328.92312,5787.00408,2792.33064,9295454.025
2008,MILLS,23,2500,1400,1546.772359,1011.714,566.55984,876339.1
2008,MITCHELL,14.5,35900,10300,975.1390956,14528.21304,4168.26168,4064634.925
2008,MONTAGUE,22.5,18300,2400,1513.146873,7405.74648,971.24544,1469637
2008,MOORE,35,127500,60900,2353.784024,51597.414,24645.35304,58009838.25
2008,NAVARRO,31.5,12500,12000,2118.405622,5058.57,4856.2272,10287459
2008,NOLAN,16.5,20300,9800,1109.64104,8215.11768,3965.91888,4400746.35
2008,NUECES,19.5,7100,4100,1311.393956,2873.26776,1659.21096,2175879.225
2008,OCHILTREE,24.5,182000,152100,1647.648817,73652.7792,61552.67976,101417200
2008,OLDHAM,15.5,42200,9700,1042.390068,17077.73232,3925.45032,4091850.425
2008,PALO PINTO,15,7300,400,1008.764582,2954.20488,161.87424,163293
2008,PARMER,34.5,184500,79600,2320.158538,74664.4932,32212.97376,74739206.1
2008,POTTER,20.5,15400,3500,1378.644928,6232.15824,1416.3996,1952712.125
2008,RANDALL,15,106500,35900,1008.764582,43099.0164,14528.21304,14655546.75
2008,RED RIVER,49.5,8300,1600,3328.92312,3358.89048,647.49696,2155467.6
2008,ROBERTS,20,7900,5200,1345.019442,3197.01624,2104.36512,2830412
2008,RUNNELS,25.5,100900,79300,1714.899789,40832.77704,32091.56808,55033823.33
2008,SAN SABA,28.5,14600,11000,1916.652705,5908.40976,4451.5416,8532059.25
2008,SCURRY,17,30100,5200,1143.266526,12181.03656,2104.36512,2405850.2
2008,SHACKELFORD,24,23300,8400,1614.023331,9429.17448,3399.35904,5486644.8
2008,SHERMAN,41,142500,89100,2757.289857,57667.698,36057.48696,99420943.05
2008,STONEWALL,18,37000,22000,1210.517498,14973.3672,8903.0832,10777338
2008,SWISHER,26,157500,52000,1748.525275,63737.982,21043.6512,36795356
2008,TARRANT,45.5,3800,2100,3059.919231,1537.80528,849.83976,2600441.025
2008,TAYLOR,29,87500,66200,1950.278191,35409.99,26790.18672,52248316.9
2008,TERRY,36,62900,38600,2421.034996,25454.72424,15620.86416,37818658.8
2008,THROCKMORTON,16.5,63000,29800,1109.64104,25495.1928,12059.63088,13381861.35
2008,TOM GREEN,28,45000,32200,1883.027219,18210.852,13030.87632,24537494.8
2008,TRAVIS,26.5,3700,3000,1782.150761,1497.33672,1214.0568,2163632.25
2008,UVALDE,38.5,10300,3600,2589.162426,4168.26168,1456.86816,3772068.3
2008,WHARTON,34.5,5800,4600,2320.158538,2347.17648,1861.55376,4319099.85
2008,WHEELER,21.5,22100,11100,1445.8959,8943.55176,4492.01016,6494979.075
2008,WICHITA,35,116400,101200,2353.784024,47105.40384,40954.18272,96397301
2008,WILBARGER,35,148500,94400,2353.784024,60095.8116,38202.32064,89920012
2008,WILLIAMSON,44.5,15300,11100,2992.668259,6191.68968,4492.01016,13443096.23
2008,WILSON,13,5000,2400,874.2626375,2023.428,971.24544,849123.6
2008,WISE,25.5,7500,2500,1714.899789,3035.142,1011.714,1734988.125
2008,YOAKUM,46.5,35600,23500,3127.170203,14406.80736,9510.1116,29739737.63
2008,YOUNG,23,71100,39400,1546.772359,28773.14616,15944.61264,24662686.1
2008,ZAVALA,37,6800,5100,2488.285968,2751.86208,2063.89656,5135564.85
2009,ARCHER,11.5,86200,22500,773.3861793,34883.89872,9105.426,7042010.625
2009,ARMSTRONG,17,56600,31700,1143.266526,22905.20496,12828.53352,14666432.95
2009,BAILEY,22.5,67200,10300,1513.146873,27194.87232,4168.26168,6307192.125
2009,BAYLOR,11.5,121400,22900,773.3861793,49128.83184,9267.30024,7167201.925
2009,BELL,26.5,26800,14700,1782.150761,10845.57408,5948.87832,10601798.03
2009,BEXAR,37.5,6200,1200,2521.911454,2509.05072,485.62272,1224697.5
2009,BORDEN,20,16700,4200,1345.019442,6758.24952,1699.67952,2286102
2009,BRISCOE,16,46500,12200,1076.015554,18817.8804,4937.16432,5312465.6
2009,CALLAHAN,13,32100,4400,874.2626375,12990.40776,1780.61664,1556726.6
2009,CARSON,23.5,88000,69200,1580.397845,35612.3328,28004.24352,44257846.1
2009,CASTRO,49,160000,63200,3295.297634,64749.696,25576.12992,84280960.4
2009,CHILDRESS,24.5,62000,38200,1647.648817,25090.5072,15458.98992,25470986.45
2009,CLAY,9.5,76500,7900,638.8842351,30958.4484,3197.01624,2042523.275
2009,COCHRAN,23,26100,8800,1546.772359,10562.29416,3561.23328,5508417.2
2009,COLEMAN,12.5,47100,12900,840.6371514,19060.69176,5220.44424,4388499.375
2009,COLLIN,28,39000,17500,1883.027219,15782.7384,7081.998,13335595
2009,COLLINGSWORTH,24,51200,26900,1614.023331,20719.90272,10886.04264,17570326.8
2009,CONCHO,23.5,59000,7200,1580.397845,23876.4504,2913.73632,4604862.6
2009,COOKE,23,34000,11700,1546.772359,13759.3104,4734.82152,7323691.05
2009,CORYELL,12.5,16400,6900,840.6371514,6636.84384,2792.33064,2347336.875
2009,COTTLE,13,30800,9200,874.2626375,12464.31648,3723.10752,3254973.8
2009,CROSBY,13.5,35900,9300,907.8881235,14528.21304,3763.57608,3416906.025
2009,DALLAM,36,139600,94100,2421.034996,56494.10976,38080.91496,92195227.8
2009,DALLAS,28,5800,5000,1883.027219,2347.17648,2023.428,3810170
2009,DAWSON,37,41400,11900,2488.285968,16753.98384,4815.75864,11982984.65
2009,DEAF SMITH,22,217000,93100,1479.521386,87816.7752,37676.22936,55742787.1
2009,DELTA,30,10700,8400,2017.529163,4330.13592,3399.35904,6858306
2009,DENTON,16,41100,11400,1076.015554,16632.57816,4613.41584,4964107.2
2009,DICKENS,16.5,26600,6400,1109.64104,10764.63696,2589.98784,2873956.8
2009,EL PASO,56.5,2100,1700,3799.679924,849.83976,687.96552,2614048.775
2009,ELLIS,27.5,46500,29300,1849.401733,18817.8804,11857.28808,21928889.13
2009,FALLS,30,33500,16700,2017.529163,13556.9676,6758.24952,13634965.5
2009,FANNIN,28,45100,26500,1883.027219,18251.32056,10724.1684,20193901
2009,FISHER,22,66900,4600,1479.521386,27073.46664,1861.55376,2754208.6
2009,FLOYD,16,105100,52100,1076.015554,42532.45656,21084.11976,22686840.8
2009,FOARD,18,85500,27200,1210.517498,34600.6188,11007.44832,13324708.8
2009,FRIO,48,8300,3800,3228.046661,3358.89048,1537.80528,4964107.2
2009,GLASSCOCK,19.5,23500,5300,1311.393956,9510.1116,2144.83368,2812721.925
2009,GRAY,19,47700,35300,1277.76847,19303.50312,14285.40168,18253435.85
2009,GRAYSON,23,38100,18700,1546.772359,15418.52136,7567.62072,11705386.55
2009,GUADALUPE,14,12700,700,941.5136096,5139.50712,283.27992,266711.9
2009,HALE,29.5,89000,35900,1983.903677,36017.0184,14528.21304,28822575.28
2009,HALL,23,28200,9000,1546.772359,11412.13392,3642.1704,5633608.5
2009,HAMILTON,21.5,7300,2200,1445.8959,2954.20488,890.30832,1287293.15
2009,HANSFORD,30,216000,191400,2017.529163,87412.0896,77456.82384,156271401
2009,HARDEMAN,12,88700,22800,807.0116654,35895.61272,9226.83168,7446160.8
2009,HARTLEY,38,85000,64000,2555.53694,34398.276,25899.8784,66188096
2009,HASKELL,18.5,176400,46900,1244.142984,71386.53984,18979.75464,23613528.58
2009,HEMPHILL,15,16300,7600,1008.764582,6596.37528,3075.61056,3102567
2009,HILL,26,55000,32400,1748.525275,22257.708,13111.81344,22926337.2
2009,HOWARD,10,25800,1900,672.5097211,10440.88848,768.90264,517094.5
2009,HUNT,25,24000,12500,1681.274303,9712.4544,5058.57,8504843.75
2009,HUTCHINSON,25.5,80700,64300,1714.899789,32658.12792,26021.28408,44623894.58
2009,JOHNSON,26,16600,4800,1748.525275,6717.78096,1942.49088,3396494.4
2009,JONES,13,183500,24000,874.2626375,74259.8076,9712.4544,8491236
2009,KAUFMAN,22,11500,7300,1479.521386,4653.8844,2954.20488,4370809.3
2009,KNOX,16.5,181200,49500,1109.64104,73329.03072,20031.9372,22228259.63
2009,LAMAR,21,20800,12100,1412.270414,8417.46048,4896.69576,6915458.55
2009,LAMB,41.5,76600,26300,2790.915343,30998.91696,10643.23128,29704357.48
2009,LIMESTONE,25.5,10300,4000,1714.899789,4168.26168,1618.7424,2775981
2009,LIPSCOMB,26,32100,24400,1748.525275,12990.40776,9874.32864,17265513.2
2009,LUBBOCK,19.5,31400,8000,1311.393956,12707.12784,3237.4848,4245618
2009,LYNN,21,34800,15900,1412.270414,14083.05888,6434.50104,9087255.45
2009,MARTIN,11.5,20700,3200,773.3861793,8376.99192,1294.99392,1001530.4
2009,MCCULLOCH,14,40200,4700,941.5136096,16268.36112,1902.02232,1790779.9
2009,MCLENNAN,28.5,41600,20500,1916.652705,16834.92096,8296.0548,15900655.88
2009,MEDINA,35.5,14900,4400,2387.40951,6029.81544,1780.61664,4251061.1
2009,MILAM,23,20400,9100,1546.772359,8255.58624,3682.63896,5696204.15
2009,MILLS,12,3600,1100,807.0116654,1456.86816,445.15416,359244.6
2009,MITCHELL,12.5,41200,5100,840.6371514,16673.04672,2063.89656,1734988.125
2009,MOORE,25,113000,88800,1681.274303,45729.4728,35936.08128,60418410
2009,NAVARRO,28.5,17700,8700,1916.652705,7162.93512,3520.76472,6748083.225
2009,NOLAN,18.5,25800,4700,1244.142984,10440.88848,1902.02232,2366387.725
2009,NUECES,17,16100,8700,1143.266526,6515.43816,3520.76472,4025172.45
2009,OCHILTREE,30,168200,145300,2017.529163,68068.11792,58800.81768,118632364.5
